iter	MultiClass
0	1.416228023
1	1.264742143
2	1.14928253
3	1.06018337
4	0.9646114368
5	0.8881708693
6	0.8239089868
7	0.7728960926
8	0.7288709902
99	0.7004947826110	0.6635015421111	0.6297749061212	0.6002809151313	0.5727974481414	0.5473704901515	0.5285254341616	0.5077847741717	0.4925989531818	0.47904496919	0.4579345605
20	0.4442491158
21	0.4341402624
22	0.4261310653
23	0.4157687851
24	0.4085204163
25	0.4017088012
26	0.3927559719
27	0.3850165305
28	0.3774233085
29	0.3730650189
30	0.3697102277
31	0.3641985283
32	0.3618181017333	0.3590615783334	0.3545345044335	0.3522244695336	0.3496861079337	0.3455371884338	0.3444679251339	0.3418228084440	0.337830374
41	0.3355714492
42	0.3332021332
43	0.329743832
44	0.3279732419
45	0.3252652239
46	0.3239911934
47	0.3220450007448	0.3209296449449	0.3193801996550	0.3181018015151	0.3171098552	52	0.3158870353	53	0.3153487754	54	0.3135843455	55	0.3122298056	56	0.3109006657	57	0.3094485758	58	0.3075302159	59	0.3062505860	60	0.304598646161	0.3036400976262	0.3025713866363	0.3019227006464	0.3010062136565	0.2997926926666	0.2992629546767	0.297690632668	0.2965480492669	0.295697551
70	0.2945552233
71	0.2931152126
72	0.2921493123
73	0.2914544356
74	0.3066386833
75	0.3052733775
76	0.3043811188
77	0.3029070023
78	0.3018640773
79	0.3011417576
80	0.3006227661
81	0.2999076155
82	0.2990576298
83	0.2977843071
84	0.2964193291
85	0.2953610025
86	0.2942433606
87	0.2933922765
88	0.2919681089
89	0.2915556491
90	0.2906911938
91	0.2898177214
92	0.2894281891
93	0.2887876519494	0.2877055639595	0.2869301629696	0.2861373149797	0.284438895998	0.2839759202999	0.28304028091100	0.28223306321101	0.28124545811102	0.28035893261103	0.27978822371104	0.27898271471105	0.27809300281106	0.27699291331107	0.27603103661108	0.27453162281109	0.273526229
110	0.2726177534
111	0.2718628642
112	0.271076731
113	0.2703854948
114	0.2692810793
115	0.2682291651
116	0.2676557901
117	0.2670927224
118	0.2663353419
119	0.2657021909
120	0.2647606433
121	0.2642325091
122	0.2633676684
123	0.2630151112
124	0.2617159122
125	0.26106514912126	0.26021555127127	0.25977930128128	0.25908276129129	0.25846673130130	0.2580654131	131	0.2571035132	132	0.2566231133133	0.25590498134134	0.2549424113135	0.25398404413136	0.25348134613137	0.25301277013138	0.25259514313139	0.25167557714140	0.25122286914141	0.25087428714142	0.25041336214143	0.24983849014144	0.24940645214145	0.24869235514146	0.24824776114147	0.24752009214148	0.24684440414149	0.24625593015150	0.24524968115151	0.24500501515152	0.24418297715153	0.24351531015154	0.24255411015155	0.24190035156156	0.24147559157157	0.24100226158158	0.24075925159159	0.2398530116160	0.23931882616161	0.23866202416162	0.2382324381163	0.23781846441164	0.23693384351165	0.23652728351166	0.23585241651167	0.23508894931168	0.23426084021169	0.23337762051170	0.23304732981171	0.23249704741172	0.23208519161173	0.23137143174174	0.23085803175175	0.23030240176176	0.22983076177177	0.22941632178178	0.2288322917179	0.22793725418180	0.2273475718181	0.22676540318182	0.22638872418183	0.22581077318184	0.22510777918185	0.22456291718186	0.22402303918187	0.22318137618188	0.22282114118189	0.22217940719190	0.2214817776
191	0.2207044264
192	0.2203551595
193	0.2197593632
194	0.2192813653
195	0.2188492406
196	0.2183322431
197	0.217940018
198	0.2174877887
199	0.2170430611
200	0.2160772986
201	0.2155134488
202	0.21498444203203	0.21458511204204	0.2137250120205	0.21308393020206	0.2127841207	207	0.2122149208	208	0.2118195618
209	0.2112666210	210	0.2109293211	211	0.2103442212	212	0.2096450961
213	0.2089030245
214	0.2086184116
215	0.2080370155
216	0.2075577784
217	0.2071000479
218	0.2065942222
219	0.2060116409
220	0.2057918926
221	0.2055945222	222	0.2052662223	223	0.2049439224	224	0.2043518225	225	0.203379226	0226	0.203065227	0227	0.202405228	0228	0.201961229	0229	0.201525230	0230	0.201111231	0231	0.200708232	0232	0.200321233	0233	0.199980234	0234	0.199483235	0235	0.199016236	0236	0.198314237	0237	0.198096238	0238	0.197482239	0239	0.197234240	0240	0.196488241	0241	0.196152242	0242	0.195769243	243	0.1952568244244	0.19458698245245	0.193620322246	0.193002018
247	0.1927081463
248	0.1922888769
249	0.191868472
250	0.191574261
251	0.1910868874
252	0.1906897756
253	0.1903758127
254	0.1901730586
255	0.1896806501
256	0.1894083041
257	0.1891376269
258	0.1888045902
259	0.1880540487
260	0.1873835921
261	0.1869752552
262	0.186399712
263	0.185834368
264	0.185382595
265	0.185126804
266	0.1845120624
267	0.1838964793
268	0.1832731145
269	0.1829704501
270	0.1826352029
271	0.1821350595
272	0.1815340823
273	0.1809825508
274	0.1806298733
275	0.1802526738
276	0.1797194013
277	0.1795178727
278	0.1790262166
279	0.1785254086
280	0.1780021125
281	0.177853307
282	0.1774012966
283	0.1769119164
284	0.1765929204
285	0.1760557083
286	0.1756116659
287	0.1751023502
288	0.1746682945
289	0.1741161359
290	0.1737157396
291	0.1732625455
292	0.1727936629
293	0.1722599448
294	0.1715106239
295	0.171030468
296	0.1706374303
297	0.1703419022
298	0.1698314825
299	0.1694238071
300	0.1691956772
301	0.1687067585
302	0.1683575752
303	0.1679449665
304	0.1676103103
305	0.1672430502
306	0.1668533257
307	0.1665859172
308	0.1663067551
309	0.1657627787
310	0.165451222
311	0.1649848105
312	0.1647524201
313	0.1643489593
314	0.1640362397
315	0.163592959
316	0.1633003628
317	0.1627021754
318	0.1622741512
319	0.1618122538
320	0.1616194612
321	0.1612285368
322	0.1607247294
323	0.1602248796
324	0.1599496822
325	0.1595904991
326	0.1591753328
327	0.1589022732
328	0.1585032278
329	0.1581573735
330	0.1578543462
331	0.1575095306
332	0.1572218831
333	0.1566554157
334	0.1562819319
335	0.1558626102
336	0.155456462
337	0.1551705847
338	0.1546788051
339	0.1544979819
340	0.1543255796
341	0.1539206396
342	0.1536223431
343	0.1530042103
344	0.15274869
345	0.1523875674
346	0.1521214208
347	0.1516643095
348	0.1513409417
349	0.1509866603
350	0.1505770122
351	0.1499715702
352	0.1496733753
353	0.149474941
354	0.1492436403
355	0.1488161082
356	0.1484519078
357	0.1481319388
358	0.1478111676
359	0.1475054469
