iter	Passed	Remaining
0	7	6995
1	12	6392
2	18	6175
3	24	6160
4	30	6052
5	36	5991
6	42	6013
7	48	6046
8	54	5993
9	60	6002
10	66	6018
11	72	5998
12	78	5931
13	83	5857
14	87	5777
15	93	5735
16	98	5684
17	103	5631
18	108	5626
19	114	5586
20	119	5579
21	125	5567
22	130	5544
23	135	5520
24	141	5513
25	147	5515
26	152	5499
27	157	5473
28	162	5453
29	168	5440
30	173	5421
31	179	5417
32	184	5402
33	189	5387
34	194	5374
35	200	5363
36	205	5347
37	210	5335
38	215	5322
39	221	5310
40	226	5299
41	232	5302
42	237	5294
43	243	5288
44	248	5279
45	254	5268
46	259	5264
47	264	5254
48	270	5240
49	275	5233
50	280	5221
51	285	5206
52	290	5195
53	293	5133
54	298	5124
55	303	5119
56	309	5117
57	314	5112
58	320	5107
59	325	5103
60	331	5106
61	337	5099
62	342	5093
63	347	5084
64	352	5076
65	357	5066
66	361	5030
67	366	5027
68	371	5014
69	376	5003
70	381	4994
71	386	4985
72	391	4977
73	397	4969
74	402	4962
75	408	4971
76	414	4964
77	419	4954
78	424	4946
79	429	4936
80	434	4926
81	439	4920
82	444	4915
83	449	4904
84	455	4903
85	460	4894
86	465	4886
87	470	4878
88	475	4868
89	480	4858
90	485	4848
91	490	4838
92	495	4831
93	500	4822
94	505	4814
95	510	4804
96	515	4796
97	520	4790
98	525	4781
99	530	4773
100	535	4764
101	540	4757
102	545	4750
103	550	4744
104	556	4739
105	561	4737
106	567	4737
107	574	4745
108	581	4752
109	589	4772
110	598	4797
111	605	4801
112	614	4823
113	623	4849
114	631	4862
115	638	4869
116	646	4879
117	653	4885
118	661	4899
119	668	4901
120	674	4898
121	680	4894
122	686	4891
123	692	4889
124	698	4888
125	704	4889
126	710	4886
127	716	4879
128	721	4872
129	727	4867
130	732	4861
131	738	4854
132	743	4846
133	748	4836
134	753	4826
135	758	4816
136	763	4809
137	768	4801
138	773	4792
139	778	4783
140	783	4775
141	789	4767
142	794	4758
143	799	4754
144	804	4744
145	809	4736
146	814	4728
147	819	4718
148	824	4709
149	829	4700
150	834	4691
151	839	4683
152	844	4674
153	849	4664
154	854	4658
155	859	4649
156	864	4640
157	868	4630
158	873	4621
159	878	4613
160	883	4605
161	888	4595
162	893	4587
163	898	4578
164	902	4568
165	907	4560
166	912	4551
167	917	4543
168	922	4534
169	927	4526
170	932	4519
171	937	4511
172	941	4502
173	946	4494
174	951	4485
175	956	4478
176	961	4470
177	966	4462
178	971	4454
179	975	4446
180	981	4440
181	986	4431
182	990	4423
183	995	4415
184	1000	44091185	1005	44011186	1010	43931187	1015	43861188	1020	43791189	1025	4372
190	1030	4365
191	1035	4358
192	1040	4351
193	1045	4344
194	1050	4337
195	1055	4330
196	1060	4322
197	1065	4315
198	1070	4308
199	1075	4300
200	1080	4293
201	1084	42852202	1089	42782203	1094	42712204	1099	42642205	1104	42562206	1109	42492207	1114	42422208	1119	4235
209	1124	42282210	1128	42212211	1134	4215
212	1139	4209
213	1143	4201
214	1149	4195
215	1154	4189
216	1159	4182
217	1163	4175
218	1168	4168
219	1173	4160
220	1178	41542221	1184	41522222	1189	41452223	1194	41392224	1199	41312225	1204	41262226	1209	41192227	1214	41122228	1219	41062229	1224	40992230	1229	40932231	1234	40862232	1239	40802233	1244	40732234	1249	40662235	1254	40602236	1259	40532237	1263	40462238	1268	40402239	1273	40332240	1278	40262241	1283	40202242	1288	40142243	1293	40082244	1298	40022245	1303	39962246	1308	39892247	1313	39822248	1318	39762249	1323	39692250	1327	39622251	1333	39572252	1339	3954
253	1344	39502254	1350	39442255	1356	39412256	1361	39362257	1366	39302258	1371	39252259	1377	39192260	1382	39142261	1387	39082262	1392	39032263	1398	38972264	1402	38902265	1407	38842266	1413	38802267	1425	38942268	1437	39062269	1449	39192270	1461	39322271	1474	39472272	1487	39592273	1499	39732274	1511	39842275	1524	4000
276	1538	4016
277	1551	4028
278	1563	4039
279	1573	4046
280	1581	4047
281	1588	4044
282	1594	4040
283	1600	4033
284	1605	4028
285	1611	4022
286	1617	4017
287	1623	4014
288	1629	4008
289	1634	4002
290	1640	3996
291	1645	3989
292	1650	3982
293	1656	3976
294	1661	3970
295	1666	3963
296	1671	3956
297	1677	3951
298	1682	3944
299	1687	3937
300	1692	3930
301	1697	3923
302	1702	3916
303	1707	3909
304	1713	3903
305	1718	3897
306	1723	3890
307	1728	3883
308	1733	3876
309	1738	3869
310	1743	3863
311	1748	3856
312	1753	3848
313	1758	3842
314	1764	3836
315	1768	3829
316	1773	3822
317	1779	3815
